season,episode_schrute,episode_imdb
1,01,1
1,02,2
1,03,3
1,04,4
1,05,5
1,06,6
2,01,1
2,02,2
2,03,3
2,04,4
2,05,5
2,06,6
2,07,7
2,08,8
2,09,9
2,10,10
2,11,11
2,12,12
2,13,13
2,14,14
2,15,15
2,16,16
2,17,17
2,18,18
2,19,19
2,20,20
2,21,21
2,22,22
3,01,1
3,02,2
3,03,3
3,04,4
3,05,5
3,06,6
3,07,7
3,08,8
3,09,9
3,10,10
3,12,11
3,13,12
3,14,13
3,15,14
3,16,15
3,17,16
3,18,17
3,19,18
3,20,19
3,21,20
3,22,21
3,23,22
3,24,23
4,01,1
4,03,2
4,05,3
4,07,4
4,09,5
4,10,6
4,11,7
4,12,8
4,13,9
4,14,10
4,15,11
4,16,12
4,17,13
4,18,14
5,01,1
5,03,2
5,04,3
5,05,4
5,06,5
5,07,6
5,08,7
5,09,8
5,10,9
5,11,10
5,12,11
5,13,12
5,14,13
5,16,14
5,17,15
5,18,16
5,19,17
5,20,18
5,21,19
5,22,20
5,23,21
5,24,22
5,25,23
5,26,24
5,27,25
5,28,26
6,01,1
6,02,2
6,03,3
6,04,4
6,06,6
6,07,7
6,08,8
6,09,9
6,10,10
6,11,11
6,12,12
6,13,13
6,14,14
6,15,15
6,16,16
6,17,17
6,19,19
6,20,20
6,21,21
6,22,22
6,23,23
6,24,24
6,25,25
6,26,26
7,01,1
7,02,2
7,03,3
7,04,4
7,05,5
7,06,6
7,07,7
7,08,8
7,09,9
7,10,10
7,11,11
7,13,12
7,14,13
7,15,14
7,16,15
7,17,16
7,18,17
7,19,18
7,20,19
7,21,20
7,22,21
7,23,22
7,24,23
7,25,24
8,01,1
8,02,2
8,03,3
8,04,4
8,05,5
8,06,6
8,07,7
8,08,8
8,09,9
8,10,10
8,11,11
8,12,12
8,13,13
8,14,14
8,15,15
8,16,16
8,17,17
8,18,18
8,19,19
8,20,20
8,21,21
8,22,22
8,23,23
8,24,24
9,01,1
9,02,2
9,03,3
9,04,4
9,05,5
9,06,6
9,07,7
9,08,8
9,09,9
9,10,10
9,11,11
9,12,12
9,13,13
9,14,14
9,15,15
9,16,16
9,17,17
9,18,18
9,19,19
9,20,20
9,21,21
9,22,22
9,24,23
